COD_IBGE|NIVEL_IBGE|NIVEL_NOME|MUNICIPIO|POPULACAO|UF
1302900|N6|Município|Maués|66159|AM
1303007|N6|Município|Nhamundá|21710|AM
1303106|N6|Município|Nova Olinda do Norte|38665|AM
1303205|N6|Município|Novo Airão|20395|AM
1303304|N6|Município|Novo Aripuanã|26443|AM
1303403|N6|Município|Parintins|116439|AM
1303502|N6|Município|Pauini|19616|AM
1303536|N6|Município|Presidente Figueiredo|38095|AM
1303569|N6|Município|Rio Preto da Eva|34856|AM
1303601|N6|Município|Santa Isabel do Rio Negro|26566|AM
1303700|N6|Município|Santo Antônio do Içá|20889|AM
1303809|N6|Município|São Gabriel da Cachoeira|47031|AM
1303908|N6|Município|São Paulo de Olivença|40837|AM
1303957|N6|Município|São Sebastião do Uatumã|14678|AM
1304005|N6|Município|Silves|9289|AM
1304062|N6|Município|Tabatinga|68502|AM
1304104|N6|Município|Tapauá|16876|AM
1304203|N6|Município|Tefé|59250|AM
1304237|N6|Município|Tonantins|19038|AM
1304260|N6|Município|Uarini|13839|AM
1304302|N6|Município|Urucará|16007|AM
1304401|N6|Município|Urucurituba|24098|AM
1400027|N6|Município|Amajari|13561|RR
1400050|N6|Município|Alto Alegre|15249|RR
1400100|N6|Município|Boa Vista|436591|RR
1400159|N6|Município|Bonfim|12701|RR
1400175|N6|Município|Cantá|19257|RR
1400209|N6|Município|Caracaraí|22635|RR
1400233|N6|Município|Caroebe|10595|RR
1400282|N6|Município|Iracema|12637|RR
1400308|N6|Município|Mucajaí|18482|RR
1400407|N6|Município|Normandia|11772|RR
1400456|N6|Município|Pacaraima|20108|RR
1400472|N6|Município|Rorainópolis|31387|RR
1400506|N6|Município|São João da Baliza|8492|RR
1400605|N6|Município|São Luiz|8232|RR
1400704|N6|Município|Uiramutã|11014|RR
1500107|N6|Município|Abaetetuba|160439|PA
1500131|N6|Município|Abel Figueiredo|7536|PA
1500206|N6|Município|Acará|55744|PA
1500305|N6|Município|Afuá|39910|PA
1500347|N6|Município|Água Azul do Norte|27797|PA
1500404|N6|Município|Alenquer|57390|PA
1500503|N6|Município|Almeirim|34044|PA
1500602|N6|Município|Altamira|117320|PA
1500701|N6|Município|Anajás|30091|PA
1500800|N6|Município|Ananindeua|540410|PA
1500859|N6|Município|Anapu|29312|PA
1500909|N6|Município|Augusto Corrêa|46937|PA
1500958|N6|Município|Aurora do Pará|32200|PA
1501006|N6|Município|Aveiro|16421|PA
1501105|N6|Município|Bagre|31967|PA
1501204|N6|Município|Baião|49454|PA
1501253|N6|Município|Bannach|3239|PA
1501303|N6|Município|Barcarena|129333|PA
1501402|N6|Município|Belém|1506420|PA
1501451|N6|Município|Belterra|17944|PA
1501501|N6|Município|Benevides|64780|PA
1501576|N6|Município|Bom Jesus do Tocantins|17254|PA
1501600|N6|Município|Bonito|16769|PA
1501709|N6|Município|Bragança|130122|PA
1501725|N6|Município|Brasil Novo|14883|PA
1501758|N6|Município|Brejo Grande do Araguaia|7357|PA
1501782|N6|Município|Breu Branco|68597|PA
1501808|N6|Município|Breves|104280|PA
1501907|N6|Município|Bujaru|29717|PA
1501956|N6|Município|Cachoeira do Piriá|35307|PA
1502004|N6|Município|Cachoeira do Arari|24355|PA
1502103|N6|Município|Cametá|140814|PA
1502152|N6|Município|Canaã dos Carajás|39103|PA
1502202|N6|Município|Capanema|69828|PA
1502301|N6|Município|Capitão Poço|54545|PA
1502400|N6|Município|Castanhal|205667|PA
1502509|N6|Município|Chaves|24175|PA
1502608|N6|Município|Colares|12175|PA
1502707|N6|Município|Conceição do Araguaia|48115|PA
1502756|N6|Município|Concórdia do Pará|34236|PA
1502764|N6|Município|Cumaru do Norte|14044|PA
1502772|N6|Município|Curionópolis|17764|PA
1502806|N6|Município|Curralinho|35530|PA
1502855|N6|Município|Curuá|14776|PA
1502905|N6|Município|Curuçá|41093|PA
1502939|N6|Município|Dom Eliseu|61206|PA
1502954|N6|Município|Eldorado do Carajás|34069|PA
1503002|N6|Município|Faro|6949|PA
1503044|N6|Município|Floresta do Araguaia|20742|PA
1503077|N6|Município|Garrafão do Norte|26155|PA
