UF;COD_MUN;NM_MUN;REDE;NOTA
RO;1100015;Alta Floresta D'Oeste;Estadual;4.6
RO;1100015;Alta Floresta D'Oeste;Municipal;4.8
RO;1100015;Alta Floresta D'Oeste;Pública;4.8
RO;1100023;Ariquemes;Estadual;5.8
RO;1100023;Ariquemes;Municipal;4.5
RO;1100023;Ariquemes;Pública;4.7
RO;1100031;Cabixi;Estadual;0.0
RO;1100031;Cabixi;Municipal;5.1
RO;1100031;Cabixi;Pública;5.1
RO;1100049;Cacoal;Estadual;5.7
RO;1100049;Cacoal;Municipal;5.6
RO;1100049;Cacoal;Pública;5.7
RO;1100056;Cerejeiras;Estadual;6.3
RO;1100056;Cerejeiras;Municipal;5.5
RO;1100056;Cerejeiras;Pública;5.7
RO;1100064;Colorado do Oeste;Estadual;0.0
RO;1100064;Colorado do Oeste;Municipal;5.9
RO;1100064;Colorado do Oeste;Pública;5.9
RO;1100072;Corumbiara;Estadual;0.0
RO;1100072;Corumbiara;Municipal;5.5
RO;1100072;Corumbiara;Pública;5.6
RO;1100080;Costa Marques;Estadual;0.0
RO;1100080;Costa Marques;Municipal;4.7
RO;1100080;Costa Marques;Pública;4.7
RO;1100098;Espigão D'Oeste;Estadual;5.2
RO;1100098;Espigão D'Oeste;Municipal;5.5
RO;1100098;Espigão D'Oeste;Pública;5.4
RO;1100106;Guajará-Mirim;Estadual;5.7
RO;1100106;Guajará-Mirim;Municipal;4.5
RO;1100106;Guajará-Mirim;Pública;4.8
RO;1100114;Jaru;Estadual;5.2
RO;1100114;Jaru;Municipal;5.4
RO;1100114;Jaru;Pública;5.4
RO;1100122;Ji-Paraná;Estadual;5.5
RO;1100122;Ji-Paraná;Municipal;5.4
RO;1100122;Ji-Paraná;Pública;5.5
RO;1100130;Machadinho D'Oeste;Estadual;0.0
RO;1100130;Machadinho D'Oeste;Municipal;4.7
RO;1100130;Machadinho D'Oeste;Pública;4.7
RO;1100148;Nova Brasilândia D'Oeste;Estadual;0.0
RO;1100148;Nova Brasilândia D'Oeste;Municipal;6.1
RO;1100148;Nova Brasilândia D'Oeste;Pública;6.1
RO;1100155;Ouro Preto do Oeste;Estadual;0.0
RO;1100155;Ouro Preto do Oeste;Municipal;5.4
RO;1100155;Ouro Preto do Oeste;Pública;5.4
RO;1100189;Pimenta Bueno;Estadual;5.3
RO;1100189;Pimenta Bueno;Municipal;5.8
RO;1100189;Pimenta Bueno;Pública;5.7
RO;1100205;Porto Velho;Estadual;5.6
RO;1100205;Porto Velho;Municipal;5.3
RO;1100205;Porto Velho;Pública;5.4
RO;1100254;Presidente Médici;Estadual;5.1
RO;1100254;Presidente Médici;Municipal;5.4
RO;1100254;Presidente Médici;Pública;5.3
RO;1100262;Rio Crespo;Estadual;0.0
RO;1100262;Rio Crespo;Municipal;0.0
RO;1100262;Rio Crespo;Pública;0.0
RO;1100288;Rolim de Moura;Estadual;5.6
RO;1100288;Rolim de Moura;Municipal;5.6
RO;1100288;Rolim de Moura;Pública;5.6
RO;1100296;Santa Luzia D'Oeste;Estadual;0.0
RO;1100296;Santa Luzia D'Oeste;Municipal;6.3
RO;1100296;Santa Luzia D'Oeste;Pública;6.3
RO;1100304;Vilhena;Estadual;0.0
RO;1100304;Vilhena;Municipal;5.5
RO;1100304;Vilhena;Pública;5.5
RO;1100320;São Miguel do Guaporé;Estadual;0.0
RO;1100320;São Miguel do Guaporé;Municipal;0.0
RO;1100320;São Miguel do Guaporé;Pública;0.0
