UF;tipo_de_crime;ano;qtd;taxa_100mil_hab
RO;Estupro (incluindo Estupro de Vulnerável);2011;815;51.69827239
RR;Estupro (incluindo Estupro de Vulnerável);2011;292;63.45549966
RS;Estupro (incluindo Estupro de Vulnerável);2011;3852;35.88921302
SC;Estupro (incluindo Estupro de Vulnerável);2011;2355;37.28003592
SE;Estupro (incluindo Estupro de Vulnerável);2011;321;15.36018191
SP;Estupro (incluindo Estupro de Vulnerável);2011;10399;25.00530091
TO;Estupro (incluindo Estupro de Vulnerável);2011;363;25.91206174
AC;Estupro (incluindo Estupro de Vulnerável);2012;396;52.18862762
AL;Estupro (incluindo Estupro de Vulnerável);2012;493;15.57429666
AM;Estupro (incluindo Estupro de Vulnerável);2012;1031;28.71078548
AP;Estupro (incluindo Estupro de Vulnerável);2012;383;54.82377663
BA;Estupro (incluindo Estupro de Vulnerável);2012;2512;17.72091409
Brasil;Estupro (incluindo Estupro de Vulnerável);2012;50224;25.89179217
CE;Estupro (incluindo Estupro de Vulnerável);2012;1485;17.25539318
DF;Estupro (incluindo Estupro de Vulnerável);2012;864;32.62184486
ES;Estupro (incluindo Estupro de Vulnerável);2012;648;18.11033723
GO;Estupro (incluindo Estupro de Vulnerável);2012;492;7.993506413
MA;Estupro (incluindo Estupro de Vulnerável);2012;967;14.40206699
MG;Estupro (incluindo Estupro de Vulnerável);2012;1741;8.768425529
MS;Estupro (incluindo Estupro de Vulnerável);2012;1358;54.20967247
MT;Estupro (incluindo Estupro de Vulnerável);2012;1204;38.64751667
PA;Estupro (incluindo Estupro de Vulnerável);2012;2393;30.5923969
PB;Estupro (incluindo Estupro de Vulnerável);2012;336;8.806944695
PE;Estupro (incluindo Estupro de Vulnerável);2012;2107;23.59190902
PI;Estupro (incluindo Estupro de Vulnerável);2012;442;13.98403163
PR;Estupro (incluindo Estupro de Vulnerável);2012;3523;33.30574399
RJ;Estupro (incluindo Estupro de Vulnerável);2012;5971;36.78680136
RN;Estupro (incluindo Estupro de Vulnerável);2012;329;10.19144427
RO;Estupro (incluindo Estupro de Vulnerável);2012;885;55.65999229
RR;Estupro (incluindo Estupro de Vulnerável);2012;245;52.18050621
RS;Estupro (incluindo Estupro de Vulnerável);2012;3805;35.32764136
SC;Estupro (incluindo Estupro de Vulnerável);2012;2867;44.91417117
SE;Estupro (incluindo Estupro de Vulnerável);2012;465;22.02886302
SP;Estupro (incluindo Estupro de Vulnerável);2012;12886;30.7532819
TO;Estupro (incluindo Estupro de Vulnerável);2012;396;27.93268505
AC;Estupro (incluindo Estupro de Vulnerável);2013;400;51.51565496
AL;Estupro (incluindo Estupro de Vulnerável);2013;1275;38.62541977
AM;Estupro (incluindo Estupro de Vulnerável);2013;1433;37.63208323
AP;Estupro (incluindo Estupro de Vulnerável);2013;469;63.80987107
BA;Estupro (incluindo Estupro de Vulnerável);2013;3149;20.93174238
Brasil;Estupro (incluindo Estupro de Vulnerável);2013;51090;25.4099728
CE;Estupro (incluindo Estupro de Vulnerável);2013;1675;19.08054336
DF;Estupro (incluindo Estupro de Vulnerável);2013;867;31.07793105
ES;Estupro (incluindo Estupro de Vulnerável);2013;355;9.246318272
GO;Estupro (incluindo Estupro de Vulnerável);2013;513;7.973207536
MA;Estupro (incluindo Estupro de Vulnerável);2013;1034;15.21863691
MG;Estupro (incluindo Estupro de Vulnerável);2013;874;4.244087268
MS;Estupro (incluindo Estupro de Vulnerável);2013;1361;52.60373003
MT;Estupro (incluindo Estupro de Vulnerável);2013;1390;43.68166687
PA;Estupro (incluindo Estupro de Vulnerável);2013;3015;37.68877671
PB;Estupro (incluindo Estupro de Vulnerável);2013;310;7.919434317
PE;Estupro (incluindo Estupro de Vulnerável);2013;2525;27.4201693
PI;Estupro (incluindo Estupro de Vulnerável);2013;443;13.91259124
PR;Estupro (incluindo Estupro de Vulnerável);2013;3584;32.58932854
RJ;Estupro (incluindo Estupro de Vulnerável);2013;5885;35.95171145
RN;Estupro (incluindo Estupro de Vulnerável);2013;240;7.113305171
RO;Estupro (incluindo Estupro de Vulnerável);2013;833;48.2000493
RR;Estupro (incluindo Estupro de Vulnerável);2013;302;61.87611664
RS;Estupro (incluindo Estupro de Vulnerável);2013;3147;28.18871264
SC;Estupro (incluindo Estupro de Vulnerável);2013;3004;45.28014755
SE;Estupro (incluindo Estupro de Vulnerável);2013;498;22.68108662
SP;Estupro (incluindo Estupro de Vulnerável);2013;12057;27.61334601
TO;Estupro (incluindo Estupro de Vulnerável);2013;452;30.57847438
AC;Estupro (incluindo Estupro de Vulnerável);2014;478;60.49859448
AL;Estupro (incluindo Estupro de Vulnerável);2014;565;17.00920906
AM;Estupro (incluindo Estupro de Vulnerável);2014;971;25.06619567
AP;Estupro (incluindo Estupro de Vulnerável);2014;343;45.67778914
BA;Estupro (incluindo Estupro de Vulnerável);2014;2712;17.92895335
Brasil;Estupro (incluindo Estupro de Vulnerável);2014;50438;24.87086779
CE;Estupro (incluindo Estupro de Vulnerável);2014;1687;19.07768712
DF;Estupro (incluindo Estupro de Vulnerável);2014;777;27.24048616
ES;Estupro (incluindo Estupro de Vulnerável);2014;238;6.126048861
GO;Estupro (incluindo Estupro de Vulnerável);2014;605;9.27455788
MA;Estupro (incluindo Estupro de Vulnerável);2014;1019;14.8739929
MG;Estupro (incluindo Estupro de Vulnerável);2014;4001;19.2967169
MS;Estupro (incluindo Estupro de Vulnerável);2014;1414;53.97653204
MT;Estupro (incluindo Estupro de Vulnerável);2014;1300;40.31811614
PA;Estupro (incluindo Estupro de Vulnerável);2014;2927;36.11404487
PB;Estupro (incluindo Estupro de Vulnerável);2014;367;9.305545167
PE;Estupro (incluindo Estupro de Vulnerável);2014;2231;24.0468382
PI;Estupro (incluindo Estupro de Vulnerável);2014;481;15.05610198
PR;Estupro (incluindo Estupro de Vulnerável);2014;4298;38.784691
RJ;Estupro (incluindo Estupro de Vulnerável);2014;5676;34.48113935
RN;Estupro (incluindo Estupro de Vulnerável);2014;323;9.476281425
RO;Estupro (incluindo Estupro de Vulnerável);2014;778;44.49449281
RR;Estupro (incluindo Estupro de Vulnerável);2014;278;55.94281759
RS;Estupro (incluindo Estupro de Vulnerável);2014;3176;28.33873786
SC;Estupro (incluindo Estupro de Vulnerável);2014;2832;42.09807782
SE;Estupro (incluindo Estupro de Vulnerável);2014;510;22.97738215
SP;Estupro (incluindo Estupro de Vulnerável);2014;10026;22.76809534
TO;Estupro (incluindo Estupro de Vulnerável);2014;425;28.3923895
AC;Estupro (incluindo Estupro de Vulnerável);2015;524;65.21363064
AL;Estupro (incluindo Estupro de Vulnerável);2015;548;16.40260861
AM;Estupro (incluindo Estupro de Vulnerável);2015;726;18.43418134
AP;Estupro (incluindo Estupro de Vulnerável);2015;324;42.26018973
BA;Estupro (incluindo Estupro de Vulnerável);2015;2549;16.76539769
Brasil;Estupro (incluindo Estupro de Vulnerável);2015;47461;23.21030382
CE;Estupro (incluindo Estupro de Vulnerável);2015;1454;16.32889769
DF;Estupro (incluindo Estupro de Vulnerável);2015;624;21.40776649
ES;Estupro (incluindo Estupro de Vulnerável);2015;203;5.165511382
GO;Estupro (incluindo Estupro de Vulnerável);2015;527;7.971947217
MA;Estupro (incluindo Estupro de Vulnerável);2015;952;13.78862644
MG;Estupro (incluindo Estupro de Vulnerável);2015;3971;19.02813159
MS;Estupro (incluindo Estupro de Vulnerável);2015;1429;53.89940914
MT;Estupro (incluindo Estupro de Vulnerável);2015;1484;45.44499655
PA;Estupro (incluindo Estupro de Vulnerável);2015;2751;33.52048021
PB;Estupro (incluindo Estupro de Vulnerável);2015;289;7.275561515
PE;Estupro (incluindo Estupro de Vulnerável);2015;1939;20.74867956
PI;Estupro (incluindo Estupro de Vulnerável);2015;539;16.82257458
PR;Estupro (incluindo Estupro de Vulnerável);2015;4082;36.56717207
RJ;Estupro (incluindo Estupro de Vulnerável);2015;4453;26.90630539
RN;Estupro (incluindo Estupro de Vulnerável);2015;320;9.29644774
RO;Estupro (incluindo Estupro de Vulnerável);2015;692;39.13575583
RR;Estupro (incluindo Estupro de Vulnerável);2015;201;39.74963662
RS;Estupro (incluindo Estupro de Vulnerável);2015;4078;36.25542453
